record_id	name	mrp_id	cms_status	marketplace_status
rec00WQ0dZ3g8WpQG	Petique	67caafa9417f2ec13ab32248	Active	3️⃣Published🚀
rec00XZDTgwZuM0Hf	Aisav	68216fd74c3cf9ee02a5dd6b	Active	3️⃣Published🚀
rec00c7ATv0S97Ph9	Neomx	694ff32cd5d9e96efbddd418	Active	3️⃣Published🚀
rec01FVpxtnmSeU1R	Clayco	668b8bc75c62aef5bbb27fe6	Active	3️⃣Published🚀
rec01O5GefARTKRjZ	Lucia Consults	671bd04e88786be5a6fe95e9	Active	3️⃣Published🚀
rec02KmqcVV4ovxMz	Mason	5e3c92ca0eb59075866631df	Active	3️⃣Published🚀
rec02VGe87Gqcllix	Paytemp	62670dd1e8fd9a6fc0746ea6	Active	3️⃣Published🚀
rec03UT29UG2wV7PK	VividSpaces	67226e38fc45355893f64e45	Active	2️⃣Scheduled📅
rec03WDAg3ePpEW4Y	Fly CMS	56203374f97450700f2569c0	Active	3️⃣Published🚀
rec03e9mrnbubGI56	Solid House	65713fd66af1eed027fab77e	Active	3️⃣Published🚀
rec03ztapy41W7lvW	NextUp	5e3c99e60eb59077a96661f2	Active	3️⃣Published🚀
rec04LIJlGvat1hrm	expandi	65527eaf7d768f4e291fdb58	Active	3️⃣Published🚀
rec04QetDBpfBIGu1	Springfield	631a34e5117d3ece1d1647df	Active	3️⃣Published🚀
rec05Bq5caOlaxAmJ	Humace	67edf770b642c9b2490ff11e	Active	3️⃣Published🚀
rec05Kepd3poAI4dU	Atento	64f9e80b81690713375a494b	Active	3️⃣Published🚀
rec05eaf8kvcmygEE	Flato	68f0bc16b05db1e664524ddf	Active	3️⃣Published🚀
rec05fepK9FYill1V	Minimal Lens	65ed014fd0846b3b4fc5761c	Active	3️⃣Published🚀
rec05nFvRJjSe4EOY	Valoris	670438b1d27af9576d1cefca	Active	3️⃣Published🚀
rec0656Hl25XXvCGe	Grindo 128 Archived o65whwpb	63eaa3ca63b6a74e25a391a0	Archived	4️⃣Delisted☠️
rec06HAjQEFZBgLsg	Luminer	68f2c0fbcbbe3624595fcfa4	Active	3️⃣Published🚀
rec075ZUC33K7YaLJ	Peralex	67f3d5a4457fa0ff48fc4721	Active	3️⃣Published🚀
rec07EVg75lKqDUMu	Nashville	66d15dbf8bb6fb16a7e9b510	Active	3️⃣Published🚀
